# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    2.85000000e+00  1.03206161e-04  1.06156602e-01  1.27795216e-04  1.04256703e-01  1.21896961e-04  3.10358705e-02  
    2.87500000e+00  1.02223877e-04  1.05707911e-01  1.27301272e-04  1.03504505e-01  1.20345904e-04  3.07115435e-02  
    2.90000000e+00  1.01217932e-04  1.05258723e-01  1.26790886e-04  1.02751374e-01  1.18876195e-04  3.03884071e-02  
    2.92500000e+00  1.00211193e-04  1.04809078e-01  1.26282190e-04  1.01997422e-01  1.17378998e-04  3.00660936e-02  
    2.95000000e+00  9.91834020e-05  1.04359041e-01  1.25708841e-04  1.01242842e-01  1.16037412e-04  2.97449197e-02  
    2.97500000e+00  9.81537461e-05  1.03908668e-01  1.25090428e-04  1.00487858e-01  1.14764837e-04  2.94254210e-02  
    3.00000000e+00  9.71266882e-05  1.03458003e-01  1.24477607e-04  9.97326176e-02  1.13500459e-04  2.91074115e-02  
    3.02500000e+00  9.60690745e-05  1.03006960e-01  1.23826069e-04  9.89765634e-02  1.12103894e-04  2.87912654e-02  
    3.05000000e+00  9.50451764e-05  1.02555635e-01  1.23245194e-04  9.82196080e-02  1.10606729e-04  2.84766216e-02  
    3.07500000e+00  9.40334127e-05  1.02104210e-01  1.22704419e-04  9.74621501e-02  1.08982892e-04  2.81631015e-02  
    3.10000000e+00  9.30396579e-05  1.01652828e-01  1.22178410e-04  9.67046845e-02  1.07391980e-04  2.78508074e-02  
    3.12500000e+00  9.20568718e-05  1.01201550e-01  1.21632690e-04  9.59472177e-02  1.06028097e-04  2.75397794e-02  
    3.15000000e+00  9.10982434e-05  1.00750458e-01  1.21130202e-04  9.51901124e-02  1.04658123e-04  2.72303387e-02  
    3.17500000e+00  9.01358657e-05  1.00299599e-01  1.20641528e-04  9.44332782e-02  1.03353125e-04  2.69221977e-02  
    3.20000000e+00  8.91627878e-05  9.98489446e-02  1.20153556e-04  9.36765625e-02  1.01958353e-04  2.66150715e-02  
    3.22500000e+00  8.82011171e-05  9.93984676e-02  1.19654121e-04  9.29196831e-02  1.00578613e-04  2.63089190e-02  
    3.25000000e+00  8.72608807e-05  9.89482272e-02  1.19165365e-04  9.21629290e-02  9.92473325e-05  2.60042246e-02  
    3.27500000e+00  8.63444463e-05  9.84982364e-02  1.18685512e-04  9.14066319e-02  9.79447607e-05  2.57012877e-02  
    3.30000000e+00  8.54253614e-05  9.80485268e-02  1.18217408e-04  9.06509699e-02  9.68418115e-05  2.54004280e-02  
    3.32500000e+00  8.45006742e-05  9.75991105e-02  1.17741205e-04  8.98961994e-02  9.56104858e-05  2.51019173e-02  
    3.35000000e+00  8.35444364e-05  9.71500430e-02  1.17279184e-04  8.91423447e-02  9.44646284e-05  2.48048779e-02  
    3.37500000e+00  8.25738611e-05  9.67012292e-02  1.16758708e-04  8.83889311e-02  9.32478650e-05  2.45094660e-02  
    3.40000000e+00  8.16292751e-05  9.62527693e-02  1.16226747e-04  8.76361096e-02  9.20822401e-05  2.42158249e-02  
    3.42500000e+00  8.06897517e-05  9.58047771e-02  1.15697797e-04  8.68842080e-02  9.09295329e-05  2.39242006e-02  
    3.45000000e+00  7.97364126e-05  9.53573877e-02  1.15169950e-04  8.61335411e-02  8.97901559e-05  2.36345986e-02  
    3.47500000e+00  7.87739481e-05  9.49106255e-02  1.14633316e-04  8.53841762e-02  8.85127916e-05  2.33470467e-02  
    3.50000000e+00  7.78333977e-05  9.44645075e-02  1.14076359e-04  8.46363400e-02  8.71661847e-05  2.30611470e-02  
    3.52500000e+00  7.68896406e-05  9.40191275e-02  1.13514072e-04  8.38897329e-02  8.59793662e-05  2.27763807e-02  
    3.55000000e+00  7.59477297e-05  9.35744462e-02  1.12914954e-04  8.31440743e-02  8.48352266e-05  2.24930085e-02  
    3.57500000e+00  7.50210046e-05  9.31304715e-02  1.12316659e-04  8.23996680e-02  8.36427701e-05  2.22114397e-02  
    3.60000000e+00  7.40963333e-05  9.26872759e-02  1.11764225e-04  8.16567990e-02  8.25489404e-05  2.19321079e-02  
    3.62500000e+00  7.31627648e-05  9.22448447e-02  1.11210664e-04  8.09156228e-02  8.13708730e-05  2.16551222e-02  
    3.65000000e+00  7.22767989e-05  9.18031938e-02  1.10684619e-04  8.01763479e-02  8.02642541e-05  2.13798977e-02  
    3.67500000e+00  7.13787318e-05  9.13623917e-02  1.10126717e-04  7.94387200e-02  7.90821382e-05  2.11062206e-02  
    3.70000000e+00  7.04831954e-05  9.09224036e-02  1.09533040e-04  7.87023325e-02  7.78892598e-05  2.08342602e-02  
    3.72500000e+00  6.95702289e-05  9.04832180e-02  1.08901972e-04  7.79674235e-02  7.68344823e-05  2.05644193e-02  
    3.75000000e+00  6.86593324e-05  9.00448944e-02  1.08325028e-04  7.72343854e-02  7.57680237e-05  2.02967295e-02  
    3.77500000e+00  6.77235544e-05  8.96075099e-02  1.07696961e-04  7.65033255e-02  7.47670116e-05  2.00311432e-02  
    3.80000000e+00  6.68220818e-05  8.91710217e-02  1.07108797e-04  7.57745985e-02  7.36322966e-05  1.97677909e-02  
    3.82500000e+00  6.59104625e-05  8.87356296e-02  1.06477226e-04  7.50481596e-02  7.25795664e-05  1.95057788e-02  
    3.85000000e+00  6.50046820e-05  8.83011925e-02  1.05831956e-04  7.43231668e-02  7.14998469e-05  1.92455470e-02  
    3.87500000e+00  6.41023502e-05  8.78677260e-02  1.05169251e-04  7.35997468e-02  7.04725207e-05  1.89871282e-02  
    3.90000000e+00  6.32085120e-05  8.74352422e-02  1.04580344e-04  7.28783898e-02  6.94986413e-05  1.87306136e-02  
    3.92500000e+00  6.23210930e-05  8.70037888e-02  1.03982841e-04  7.21594619e-02  6.83847167e-05  1.84762625e-02  
    3.95000000e+00  6.14806956e-05  8.65733668e-02  1.03402209e-04  7.14431081e-02  6.73775095e-05  1.82241828e-02  
    3.97500000e+00  6.06354969e-05  8.61440716e-02  1.02796925e-04  7.07295445e-02  6.63173232e-05  1.79739622e-02  
    4.00000000e+00  5.97548890e-05  8.57158403e-02  1.02104050e-04  7.00178509e-02  6.54255907e-05  1.77255448e-02  
    4.02500000e+00  5.88923077e-05  8.52886246e-02  1.01417217e-04  6.93076607e-02  6.45294882e-05  1.74788787e-02  
    4.05000000e+00  5.80167378e-05  8.48624743e-02  1.00789718e-04  6.85996288e-02  6.35598942e-05  1.72339896e-02  
    4.07500000e+00  5.71748543e-05  8.44374265e-02  1.00171260e-04  6.78940700e-02  6.26038315e-05  1.69915531e-02  
    4.10000000e+00  5.63776862e-05  8.40135203e-02  9.95816789e-05  6.71912953e-02  6.17024005e-05  1.67513760e-02  
    4.12500000e+00  5.55641358e-05  8.35908306e-02  9.89571156e-05  6.64916344e-02  6.07243341e-05  1.65133096e-02  
    4.15000000e+00  5.47196520e-05  8.31693616e-02  9.82609860e-05  6.57940543e-02  5.98725261e-05  1.62768338e-02  
    4.17500000e+00  5.38954753e-05  8.27490130e-02  9.76116371e-05  6.50980998e-02  5.90943904e-05  1.60418425e-02  
    4.20000000e+00  5.30471814e-05  8.23297777e-02  9.69833554e-05  6.44043959e-02  5.81184925e-05  1.58086006e-02  
    4.22500000e+00  5.22520931e-05  8.19117275e-02  9.63706805e-05  6.37133148e-02  5.69725327e-05  1.55778022e-02  
    4.25000000e+00  5.14677804e-05  8.14949428e-02  9.57920021e-05  6.30252681e-02  5.58180085e-05  1.53490579e-02  
    4.27500000e+00  5.06757287e-05  8.10793911e-02  9.51877797e-05  6.23405955e-02  5.49064899e-05  1.51225156e-02  
    4.30000000e+00  4.98298914e-05  8.06651189e-02  9.45206304e-05  6.16580949e-02  5.41350311e-05  1.48975654e-02  
    4.32500000e+00  4.89794218e-05  8.02520565e-02  9.38432044e-05  6.09774066e-02  5.34332104e-05  1.46740336e-02  
    4.35000000e+00  4.81432915e-05  7.98401577e-02  9.31823666e-05  6.02990028e-02  5.25319411e-05  1.44523790e-02  
    4.37500000e+00  4.73618436e-05  7.94295061e-02  9.25473585e-05  5.96233758e-02  5.15903687e-05  1.42329495e-02  
    4.40000000e+00  4.66188942e-05  7.90201249e-02  9.19734546e-05  5.89508780e-02  5.06745997e-05  1.40154393e-02  
    4.42500000e+00  4.58589656e-05  7.86120497e-02  9.13578624e-05  5.82817630e-02  4.98138277e-05  1.37999257e-02  
    4.45000000e+00  4.50474971e-05  7.82051748e-02  9.06410068e-05  5.76150018e-02  4.90481195e-05  1.35864819e-02  
    4.47500000e+00  4.42360585e-05  7.77995746e-02  8.99584092e-05  5.69500246e-02  4.82417355e-05  1.33743486e-02  
    4.50000000e+00  4.34384669e-05  7.73951831e-02  8.92983077e-05  5.62874496e-02  4.73597556e-05  1.31643555e-02  
    4.52500000e+00  4.26843643e-05  7.69920576e-02  8.86728125e-05  5.56277396e-02  4.64473184e-05  1.29564066e-02  
    4.55000000e+00  4.19755727e-05  7.65902319e-02  8.81176870e-05  5.49713479e-02  4.54680354e-05  1.27502968e-02  
    4.57500000e+00  4.12413534e-05  7.61896996e-02  8.75390434e-05  5.43184240e-02  4.44667522e-05  1.25462663e-02  
    4.60000000e+00  4.04321842e-05  7.57904270e-02  8.68500774e-05  5.36676985e-02  4.36883308e-05  1.23440343e-02  
    4.62500000e+00  3.96580350e-05  7.53924066e-02  8.61357378e-05  5.30189645e-02  4.28626675e-05  1.21432980e-02  
    4.65000000e+00  3.88984893e-05  7.49956644e-02  8.55125266e-05  5.23727115e-02  4.19372590e-05  1.19447080e-02  
    4.67500000e+00  3.81892012e-05  7.46002013e-02  8.49313623e-05  5.17293678e-02  4.09734619e-05  1.17479829e-02  
    4.70000000e+00  3.74750033e-05  7.42060813e-02  8.43373211e-05  5.10894863e-02  4.02076476e-05  1.15528453e-02  
    4.72500000e+00  3.67495936e-05  7.38132796e-02  8.37462361e-05  5.04529753e-02  3.94499081e-05  1.13596470e-02  
    4.75000000e+00  3.59478126e-05  7.34217287e-02  8.30019407e-05  4.98185217e-02  3.88609915e-05  1.11681794e-02  
    4.77500000e+00  3.52003869e-05  7.30314386e-02  8.23071627e-05  4.91861961e-02  3.80828654e-05  1.09783507e-02  
    4.80000000e+00  3.44898678e-05  7.26424087e-02  8.16570595e-05  4.85564538e-02  3.71788248e-05  1.07906757e-02  
    4.82500000e+00  3.38230990e-05  7.22546909e-02  8.10695987e-05  4.79298509e-02  3.62570591e-05  1.06047701e-02  
    4.85000000e+00  3.31630727e-05  7.18682990e-02  8.05576811e-05  4.73069821e-02  3.53721660e-05  1.04207321e-02  
    4.87500000e+00  3.24266251e-05  7.14831834e-02  7.99114093e-05  4.66872151e-02  3.47926221e-05  1.02386648e-02  
    4.90000000e+00  3.16550104e-05  7.10993718e-02  7.91614872e-05  4.60694083e-02  3.42744162e-05  1.00580088e-02  
    4.92500000e+00  3.09463402e-05  7.07167750e-02  7.84754880e-05  4.54537951e-02  3.35658156e-05  9.87895892e-03  
    4.95000000e+00  3.03102562e-05  7.03354406e-02  7.78626104e-05  4.48408036e-02  3.26491676e-05  9.70192459e-03  
    4.97500000e+00  2.96569841e-05  6.99553734e-02  7.73091456e-05  4.42311529e-02  3.17838805e-05  9.52682399e-03  
    5.00000000e+00  2.89970220e-05  6.95766286e-02  7.67576705e-05  4.36251966e-02  3.09724912e-05  9.35349643e-03  
    5.02500000e+00  2.82767937e-05  6.91991398e-02  7.60806661e-05  4.30219912e-02  3.04056359e-05  9.18195045e-03  
    5.05000000e+00  2.75391229e-05  6.88229484e-02  7.53516427e-05  4.24208004e-02  2.98328025e-05  9.01178919e-03  
    5.07500000e+00  2.69020433e-05  6.84479388e-02  7.46961678e-05  4.18219911e-02  2.91488532e-05  8.84331679e-03  
    5.10000000e+00  2.62776341e-05  6.80742101e-02  7.41100077e-05  4.12261062e-02  2.82500507e-05  8.67694858e-03  
    5.12500000e+00  2.56626786e-05  6.77017791e-02  7.35984582e-05  4.06336580e-02  2.73277205e-05  8.51221536e-03  
    5.15000000e+00  2.50389608e-05  6.73306277e-02  7.30185162e-05  4.00446520e-02  2.66833106e-05  8.34930122e-03  
    5.17500000e+00  2.43178063e-05  6.69607758e-02  7.23104433e-05  3.94579805e-02  2.63049357e-05  8.18788306e-03  
    5.20000000e+00  2.36509483e-05  6.65921444e-02  7.16546037e-05  3.88734593e-02  2.59407727e-05  8.02795746e-03  
    5.22500000e+00  2.30526569e-05  6.62247053e-02  7.10413294e-05  3.82916070e-02  2.53323270e-05  7.86973578e-03  
    5.25000000e+00  2.24847775e-05  6.58585426e-02  7.05120633e-05  3.77128077e-02  2.44845872e-05  7.71353675e-03  
    5.27500000e+00  2.19290248e-05  6.54936493e-02  6.99938422e-05  3.71375204e-02  2.35020585e-05  7.55887176e-03  
